h3_cell,h3_center_lat,h3_center_lon
88387450dbfffff,36.187264,3.889994
88387450ddfffff,36.182161,3.873068
8838745107fffff,36.115524,3.757441
8838745123fffff,36.100832,3.753788
883874512bfffff,36.108922,3.750594
8838745131fffff,36.105944,3.770676
8838745135fffff,36.099343,3.763828
8838745139fffff,36.114036,3.767482
883874513dfffff,36.107434,3.760634
883874514bfffff,36.14788,3.744661
8838745159fffff,36.152996,3.761555
883874515dfffff,36.146394,3.754705
8838745181fffff,36.113178,3.824554
8838745185fffff,36.106577,3.817699
8838745187fffff,36.105083,3.827744
8838745189fffff,36.121272,3.821364
883874518dfffff,36.114671,3.814509
88387451a9fffff,36.099977,3.810845
88387451abfffff,36.098483,3.820889
88387451c1fffff,36.130858,3.808127
88387451c3fffff,36.129365,3.818174
88387451c7fffff,36.122765,3.811318
88387451cbfffff,36.137458,3.814982
88387451d5fffff,36.127872,3.828221
88387451ddfffff,36.135965,3.825031
88387451e3fffff,36.108071,3.807655
8838745205fffff,36.219841,3.772992
883874520dfffff,36.227927,3.769795
8838745229fffff,36.213239,3.766135
8838745261fffff,36.222808,3.752885
8838745263fffff,36.221325,3.762938
8838745267fffff,36.214723,3.756083
883874526bfffff,36.22941,3.759741
8838745281fffff,36.216025,3.850248
8838745283fffff,36.214533,3.860307
8838745285fffff,36.209426,3.843382
8838745287fffff,36.207934,3.853439
883874528bfffff,36.222625,3.857115
8838745293fffff,36.218145,3.887298
8838745295fffff,36.21304,3.870366
8838745297fffff,36.211546,3.880427
883874529dfffff,36.221132,3.867176
88387452abfffff,36.201334,3.846573
88387452b3fffff,36.196854,3.876747
88387452b7fffff,36.190255,3.869879
88387452b9fffff,36.206441,3.863498
88387452bdfffff,36.199842,3.856631
88387452c9fffff,36.241785,3.830609
88387452cbfffff,36.240296,3.84067
88387452d9fffff,36.245406,3.8576
8838745311fffff,36.183862,3.75882
8838745313fffff,36.182376,3.768869
8838745317fffff,36.175774,3.762016
883874531bfffff,36.190464,3.765673
8838745321fffff,36.158935,3.721377
8838745323fffff,36.157452,3.731421
8838745325fffff,36.152332,3.714532
8838745327fffff,36.150849,3.724574
8838745329fffff,36.167021,3.718179
883874532bfffff,36.165538,3.728223
883874532dfffff,36.160418,3.711334
8838745331fffff,36.16257,3.748314
8838745333fffff,36.161085,3.75836
8838745335fffff,36.155968,3.741465
8838745337fffff,36.154483,3.75151
8838745365fffff,36.169983,3.698092
883874536dfffff,36.178067,3.694892
8838745423fffff,36.172249,3.990606
8838745425fffff,36.167159,3.973663
8838745427fffff,36.165653,3.983725
8838745435fffff,36.170742,4.00067
8838745445fffff,36.206155,3.967808
8838745449fffff,36.220849,3.971505
883874544bfffff,36.219346,3.981574
8838745461fffff,36.191459,3.964112
8838745469fffff,36.199558,3.960927
883874546bfffff,36.198055,3.970992
883874546dfffff,36.192962,3.954048
88387454c9fffff,36.210309,4.041993
8838745511fffff,36.152462,3.969967
8838745513fffff,36.150956,3.980027
8838745519fffff,36.160563,3.966784
883874551bfffff,36.159058,3.976845
88387455c1fffff,36.156044,3.996969
88387455c9fffff,36.164147,3.993788
88387455cbfffff,36.162639,4.003851
88387455cdfffff,36.157551,3.986907
8838745601fffff,36.251738,3.968833
8838745605fffff,36.245142,3.961949
8838745609fffff,36.259834,3.965647
883874560dfffff,36.253238,3.958762
8838745621fffff,36.230448,3.958252
8838745623fffff,36.228947,3.96832
8838745625fffff,36.223852,3.951371
8838745629fffff,36.238545,3.955066
883874562dfffff,36.231949,3.948185
8838745631fffff,36.234041,3.985274
8838745635fffff,36.227445,3.978389
8838745637fffff,36.225942,3.988458
883874563dfffff,36.235543,3.975204
8838745647fffff,36.261334,3.955575
8838745663fffff,36.246641,3.951879
8838745667fffff,36.240045,3.944998
883874566bfffff,36.254737,3.948692
8838745681fffff,36.24121,4.039343
8838745683fffff,36.239702,4.049418
8838745685fffff,36.234616,4.03245
8838745687fffff,36.233108,4.042524
8838745689fffff,36.249311,4.036161
883874568bfffff,36.247804,4.046237
883874568dfffff,36.242717,4.029268
88387456a1fffff,36.21992,4.028741
88387456a3fffff,36.218412,4.038813
88387456a7fffff,36.211818,4.031922
88387456abfffff,36.226514,4.035632
88387456b5fffff,36.216903,4.048885
88387456bdfffff,36.225006,4.045705
8838745713fffff,36.207657,3.957742
8838745717fffff,36.20106,3.950863
8838745745fffff,36.216649,3.89736
8838745749fffff,36.231341,3.901044
8838745753fffff,36.225352,3.941305
883874575bfffff,36.233448,3.938117
8838745761fffff,36.201957,3.893676
8838745765fffff,36.195359,3.886806
8838745769fffff,36.210051,3.890487
883874576bfffff,36.208555,3.900548
883874576dfffff,36.203453,3.883616
8838745803fffff,36.01927,3.738735
883874580bfffff,36.027363,3.735543
8838745811fffff,36.02438,3.755605
8838745815fffff,36.017778,3.748765
8838745819fffff,36.032474,3.752414
883874581dfffff,36.025872,3.745574
8838745857fffff,36.033965,3.742382
8838745859fffff,36.05015,3.735997
883874585bfffff,36.04866,3.74603
8838745881fffff,36.010304,3.798923
8838745889fffff,36.018402,3.795735
883874588bfffff,36.016905,3.805769
883874588dfffff,36.011801,3.78889
88387458c3fffff,36.026498,3.792546
88387458c7fffff,36.019898,3.785702
88387458d5fffff,36.025002,3.802581
8838745917fffff,35.97007,3.710947
8838745933fffff,35.955373,3.707309
883874593bfffff,35.963467,3.704117
88387459e1fffff,35.960484,3.724161
88387459e5fffff,35.953881,3.717329
88387459e9fffff,35.968578,3.72097
88387459edfffff,35.961976,3.714138
8838745a33fffff,36.058241,3.732803
8838745a41fffff,36.095056,3.68992
8838745a43fffff,36.093572,3.699955
8838745a49fffff,36.103142,3.686723
8838745a4bfffff,36.101659,3.696758
8838745a5dfffff,36.100175,3.706794
8838745ae1fffff,36.063354,3.749679
8838745ae5fffff,36.056752,3.742837
8838745ae7fffff,36.055262,3.752871
8838745aedfffff,36.064844,3.739644
883874a095fffff,36.677716,4.687856
883874a097fffff,36.67617,4.698022
883874a0b1fffff,36.663021,4.684004
883874a0b3fffff,36.661475,4.694169
883874a0b9fffff,36.671141,4.680847
883874a0bbfffff,36.669596,4.691013
883874a181fffff,36.634772,4.61851
883874a183fffff,36.633231,4.628667
883874a185fffff,36.628195,4.611513
883874a187fffff,36.626654,4.621669
883874a189fffff,36.642889,4.61535
883874a18bfffff,36.641349,4.625508
883874a18dfffff,36.636312,4.608353
883874a191fffff,36.638264,4.645825
883874a193fffff,36.636721,4.655984
883874a195fffff,36.631688,4.638825
883874a197fffff,36.630145,4.648983
883874a1a5fffff,36.606923,4.600685
883874a1b1fffff,36.616993,4.634984
883874a1b3fffff,36.615449,4.64514
883874a1b5fffff,36.610416,4.627987
883874a1b7fffff,36.608873,4.638142
883874a1b9fffff,36.625112,4.631826
883874a1bbfffff,36.623569,4.641983
883874a1bdfffff,36.618535,4.624828
883874a1d1fffff,36.656043,4.629348
883874a1d3fffff,36.654501,4.639508
883874a1d5fffff,36.649466,4.622348
883874a1d7fffff,36.647925,4.632507
883874a1d9fffff,36.66416,4.626188
883874a1dbfffff,36.662619,4.636349
883874a1ddfffff,36.657583,4.619188
883874a2a1fffff,36.716351,4.634553
883874a2a3fffff,36.714813,4.64472
883874a2a5fffff,36.709775,4.627548
883874a2a7fffff,36.708236,4.637714
883874a2a9fffff,36.724466,4.631391
883874a2abfffff,36.722928,4.641559
